pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,contributor,rights,relation,_type,school,order,layout,collection,thumbnail,full
lef021,"Director Evelina Antonetty of Bronx United Parents, Inc. in window of organization offices, Bronx, NY",,,,El Centro de Estudios Puertorriqueños,"Records of United Bronx Parents, Inc., 1966-1989","Box 9, Folder 2.",,,,,Used with permission ,,image,wad,57,exh_item,exh,,
jur003,Parent-Teacher Teams - Participating Teachers ,,"Juravich, Nick ",,,,,,,,,Used with permission,,image,gen,35,exh_item,exh,img/derivatives/simple/jur003/thumbnail.jpg,img/derivatives/simple/jur003/fullwidth.jpg
jur017,"Graduation Ceremony for Paraprofessional Educators at the 369th ""Hellfighters"" Regiment Armory in Harlem, 1973",,"Weissenstein, Hans",,"Tamiment Library and Robert F. Wagner Labor Archives, NYU",United Federation of Teachers Hans Weissenstein Negatives Collection,,,,1970,,Used with permission,,image,gen,34,exh_item,exh,img/derivatives/simple/jur017/thumbnail.jpg,img/derivatives/simple/jur017/fullwidth.jpg
was005,Map identifying PS 133 in East Harlem,,"Wasserman, Nina",,,,,,,,,,,image,gen,1,exh_item,exh,img/derivatives/simple/was005/thumbnail.jpg,img/derivatives/simple/was005/fullwidth.jpg
was011,"Map identifying the site of the former PS 241, Family Academy",,"Wasserman, Nina",,,,,,,,,,,image,gen,2,exh_item,exh,img/derivatives/simple/was011/thumbnail.jpg,img/derivatives/simple/was011/fullwidth.jpg
was010,Map identifying the site of the former Julia Richman High School,,"Wasserman, Nina",,,,,,,,,,,image,gen,3,exh_item,exh,img/derivatives/simple/was010/thumbnail.jpg,img/derivatives/simple/was010/fullwidth.jpg
was004,Map identifying  PS 133 in East Harlem,,"Wasserman, Nina",,,,,,,,,,,image,gen,4,exh_item,exh,img/derivatives/simple/was004/thumbnail.jpg,img/derivatives/simple/was004/fullwidth.jpg
jur016,"Hope Leichter at Parent-Teacher Teams Event, 1968 ",,Teachers College,TC Week ,Columbia University Archives,Morningside Area Alliance ,,,Teachers College,1968,,Used with permission,,image,gen,37,exh_item,exh,img/derivatives/simple/jur016/thumbnail.jpg,img/derivatives/simple/jur016/fullwidth.jpg
jur002,Parent-Teacher Teams - Parent Educators,,"Juravich, Nick ",,,,,,,,,Used with permission,,image,gen,36,exh_item,exh,img/derivatives/simple/jur002/thumbnail.jpg,img/derivatives/simple/jur002/fullwidth.jpg
jur014,A group of parent educators meets together on the Lower East Side. ,,,,Collection of Mary Dowery,,,,,,,Used with permission,,image,gen,31,exh_item,exh,img/derivatives/simple/jur014/thumbnail.jpg,img/derivatives/simple/jur014/fullwidth.jpg
was006,Map identifying PS 133 in East Harlem,,"Wasserman, Nina",,,,,,,,,,,image,gen,5,exh_item,exh,img/derivatives/simple/was006/thumbnail.jpg,img/derivatives/simple/was006/fullwidth.jpg
was007,Map identifying IS 201 Demonstration District and Lincoln Center for the Arts,,"Wasserman, Nina",,,,,,,,,,,image,gen,6,exh_item,exh,img/derivatives/simple/was007/thumbnail.jpg,img/derivatives/simple/was007/fullwidth.jpg
jur015,"Mary Dowery and Frank Riessman (at the end of the table) lead a role-playing session for Lower East Side parents, 1963 or 1964",,,,Collection of Mary Dowery,,,,,,,Used with permission,,image,gen,33,exh_item,exh,img/derivatives/simple/jur015/thumbnail.jpg,img/derivatives/simple/jur015/fullwidth.jpg
jur001,Parent-Teacher Teams - Center C Schools,,"Juravich, Nick ",,,,,,,,,Used with permission,,image,gen,32,exh_item,exh,img/derivatives/simple/jur001/thumbnail.jpg,img/derivatives/simple/jur001/fullwidth.jpg
jur005,Parent-Teacher Teams - Partner Organizations,,"Juravich, Nick ",,,,,,,,,Used with permission,,image,gen,28,exh_item,exh,img/derivatives/simple/jur005/thumbnail.jpg,img/derivatives/simple/jur005/fullwidth.jpg
jur011,"Paraprofessional Doris Hunter Teaching in Brooklyn, 1970",,"Weissenstein, Hans",,"Tamiment Library and Robert F. Wagner Labor Archives, NYU",United Federation of Teachers Hans Weissenstein Negatives Collection,,,,1970,,Used with permission,,image,gen,27,exh_item,exh,img/derivatives/simple/jur011/thumbnail.jpg,img/derivatives/simple/jur011/fullwidth.jpg
was003,Map identifying IS 201 Demonstration District in East Harlem,,"Wasserman, Nina",,,,,,,,,,,image,gen,7,exh_item,exh,img/derivatives/simple/was003/thumbnail.jpg,img/derivatives/simple/was003/fullwidth.jpg
jur004,Parent-Teacher Teams - Center B Schools,,"Juravich, Nick ",,,,,,,,,Used with permission,,image,gen,29,exh_item,exh,img/derivatives/simple/jur004/thumbnail.jpg,img/derivatives/simple/jur004/fullwidth.jpg
jur010,"Harlem Educational Attainment, 1970",,"Juravich, Nick ",US Census Data via Social Explorer ,,,,www.socialexplorer.com,,,,Public domain,,image,gen,30,exh_item,exh,img/derivatives/simple/jur010/thumbnail.jpg,img/derivatives/simple/jur010/fullwidth.jpg
jur006,"Harlem Population by Race, 1970",,"Juravich, Nick ",US Census Data via Social Explorer ,,,,www.socialexplorer.com,,,,Public domain,,image,gen,23,exh_item,exh,img/derivatives/simple/jur006/thumbnail.jpg,img/derivatives/simple/jur006/fullwidth.jpg
jur012,Parent-Teacher Teams - Locations ,,"Juravich, Nick ",,,,,,,,,Used with permission,,image,gen,24,exh_item,exh,img/derivatives/simple/jur012/thumbnail.jpg,img/derivatives/simple/jur012/fullwidth.jpg
was001,Intermediate School 201 exterior,,,Forgotten NY,,,,https://forgotten-ny.com/2011/02/harlem-manhattan/,,2011,,,,image,gen,8,exh_item,exh,img/derivatives/simple/was001/thumbnail.jpg,img/derivatives/simple/was001/fullwidth.jpg
jur013,"[Photo Standalone, No Title] ",,,New York Amsterdam News ,Proquest Historical Newspapers ,,,,,31-Oct-64,,Used with permission,,image,gen,26,exh_item,exh,img/derivatives/simple/jur013/thumbnail.jpg,img/derivatives/simple/jur013/fullwidth.jpg
jur007,"Harlem Population by ""Spanish Origin,"" 1970",,"Juravich, Nick ",US Census Data via Social Explorer ,,,,www.socialexplorer.com,,,,Public domain,,image,gen,25,exh_item,exh,img/derivatives/simple/jur007/thumbnail.jpg,img/derivatives/simple/jur007/fullwidth.jpg
jur009,"Harlem Unemployed Population, 1970",,"Juravich, Nick ",US Census Data via Social Explorer ,,,,www.socialexplorer.com,,,,Public domain,,image,gen,39,exh_item,exh,img/derivatives/simple/jur009/thumbnail.jpg,img/derivatives/simple/jur009/fullwidth.jpg
jur008,"Harlem Family Income, 1970",,"Juravich, Nick ",US Census Data via Social Explorer ,,,,www.socialexplorer.com,,,,Public domain,,image,gen,40,exh_item,exh,img/derivatives/simple/jur008/thumbnail.jpg,img/derivatives/simple/jur008/fullwidth.jpg
was009,Map identifying the site of Intermediate School 201,,"Wasserman, Nina",,,,,,,,,,,image,gen,9,exh_item,exh,img/derivatives/simple/was009/thumbnail.jpg,img/derivatives/simple/was009/fullwidth.jpg
was008,Map identifying the site of the former PS 31 in East Harlem,,"Wasserman, Nina",,,,,,,,,,,image,gen,0,exh_item,exh,img/derivatives/simple/was008/thumbnail.jpg,img/derivatives/simple/was008/fullwidth.jpg
lef029,Dra. Evelina Antonetty Way,,"Powell, Morgan",The Bronx Chronicle,,,,,,14-Sep-22,,,,image,wad,11,exh_item,exh,,
lef009,"Puerto Real, Puerto Rico. Part of the extremely poor little fishing village on the southwest coast of Puerto Rico",,"Delano, Jack ",,Library of Congress Prints & Photographs Division,Farm Security Administration - Office of War Information Photograph Collection,,https://www.loc.gov/item/2017798354/,,1-Jan-42,,Public domain,,image,wad,12,exh_item,exh,,
lef008,"Puerto Real, Puerto Rico. Part of the extremely poor little fishing village on the southwest coast of Puerto Rico",,"Delano, Jack ",,Library of Congress Prints & Photographs Division,Farm Security Administration - Office of War Information Photograph Collection,,https://www.loc.gov/item/2017798353/,,1-Jan-42,,Public domain,,image,wad,13,exh_item,exh,,
lef022,"Flyer, United Bronx Parents/ Padres Unidos del Bronx",,United Bronx Parents,,,,,,,,,Used with permission ,,image,wad,14,exh_item,exh,,
lef016,"One Year Ago: Next Thursday Is First Anniversary of Harlem Upheaval March 19 Outbreak Is Seen as Influence During Past Year Mayor's Commission Revealed Forces Behind ""Riot""",,"Poston, T.R. ",New York Amsterdam News ,Proquest Historical African American Newspapers,,,,,14-Mar-36,,Used with permission,,image,wad,15,exh_item,exh,,
lef023,A Comparison of the Ethnic Composition of NYC Public School Students Population,,United Bronx Parents ,,El Centro de Estudios Puertorriqueños,Pura Belpre Papers ,,https://centroca.hunter.cuny.edu/Detail/objects/61,,Nov-70,,Used with permission ,,image,wad,16,exh_item,exh,,
lef027,Evelina Antonetty,,"Reyes, Francisco ",,El Centro de Estudios Puertorriqueños,,,,,,,Used with permission ,,image,wad,17,exh_item,exh,,
lef026,Puerto Ricans Are Oppressed Everywhere,,Young Lords Party ,,"Tamiment Library and Labor Archives, NYU",,,,,1971-1974,,,,image,wad,18,exh_item,exh,,
lef024,"Press release, 100.000 Free Lunches a day for Children is Goal of United Bronx Parents",,United Bronx Parents,,El Centro de Estudios Puertorriqueños,"Records of United Bronx Parents, Inc., 1966-1989","Box 7, Folder 1",https://centroca.hunter.cuny.edu/Detail/objects/457,,29-Jun-71,,Used with permission,,image,wad,19,exh_item,exh,,
lef030,Dr. Evelina Lopez Antonetty Mural at P.S. 277,,,,,,,,,,,,,image,wad,20,exh_item,exh,,
lef031,"Evelina Lopez Antonetty Mural, South Bronx",,TATS Cru,,,,,,,,,,,image,wad,21,exh_item,exh,,
lef019,Proposal: The Puerto Rican Community Development Project,,"Pantoja, Antonia ",,El Centro de Estudios Puertorriqueños,"Antonia Pantoja Papers, 1923-2002",,https://centroca.hunter.cuny.edu/Detail/objects/146,,,,Used with permission ,,image,wad,22,exh_item,exh,,
lef011,Passengers arriving at New York Airport during the Great Migration,,Fundacion Puertorriquena de la Humanidades,Puerto Rico Encyclopedia,,,,https://enciclopediapr.org/,,,,,,image,wad,38,exh_item,exh,,
lef014,El Barrio,,"Roberts, H. Armstrong",,,,,,,c. 1970s,,Copyright Getty Images,,image,wad,41,exh_item,exh,,
lef028,The Fourth Annual Tribute to African Diaspora Women,,Caribbean Cultural Center African Diaspora Institute,,Centro de Estudios Puertorriqueños,"Records of United Bronx Parents, Inc., 1966-1989 ","Box 2, Folder 6",,,20-May-90,,Used with permission,,image,wad,42,exh_item,exh,,
lef015,Distribution of Population in Harlem,,,"Reproduced in Lorrin Thomas, ""They See Us as Black Americans: Puerto Rican Migrants and the Politics of Citizenship in Depression-Era New York City,"" Delaware Review of Latin American Studies 6:1 (June 2005).",,,,,,,,,,image,wad,43,exh_item,exh,,
lef001,"Map of Puerto Rico, indicating Evelina Lopez's birthplace",,"Lefty, Lauren",,,,,,,,,,,image,wad,44,exh_item,exh,,
lef003,"Map indicating Harlem and the South Bronx, New York City ",,"Lefty, Lauren",,,,,,,,,,,image,wad,45,exh_item,exh,,
lef017,"Wadleigh High School for Girls, 1903",,,,,,,,,,,Public domain ,,image,wad,46,exh_item,exh,,
lef002,Map indicating Puerto Rico and New York City ,,"Lefty, Lauren",,,,,,,,,,,image,wad,47,exh_item,exh,,
lef006,"Map indicating United Bronx Parents Headquarters, the South Bronx",,"Lefty, Lauren",,,,,,,,,,,image,wad,48,exh_item,exh,,
lef012,Map of Puerto Rico 1898,,,,,,,,,1898,,,,image,wad,49,exh_item,exh,,
lef013,"School room in rural school. Cidra, Puerto Rico",,"Rosskam, Edwin",,Library of Congress Prints & Photographs Division,Farm Security Administration - Office of War Information Photograph Collection,,https://www.loc.gov/item/2017764472/,,1-Jan-38,,Public domain,,image,wad,50,exh_item,exh,,
lef007,"El Borinquen, Ship from Puerto Rico to New York",,,,Collection of Bjorn Larsson,,,http://www.timetableimages.com/maritime/images/porto34i1.htm,,1934,,Used with permission ,,image,wad,51,exh_item,exh,,
lef005,Map indicating the South Bronx,,"Lefty, Lauren",,,,,,,,,,,image,wad,52,exh_item,exh,,
lef004,Map indicating Wadleigh High School in Harlem ,,"Lefty, Lauren",,,,,,,,,,,image,wad,53,exh_item,exh,,
lef010,"Puerto Rican Migration to the U.S. and New York, 1930-1980",,"Korrol, Virginia Sanchez","From Colonia to Community: The History of Puerto Ricans in New York City, 1917-1948. Berkeley, CA: University of California Press, 1983.",,,,,,1983,,,,image,wad,54,exh_item,exh,,
lef018,Pura Belpre's Story Hour,,,,El Centro de Estudios Puertorriqueños,Pura Belpre Papers ,,https://centroca.hunter.cuny.edu/Detail/objects/686,,c. 1930s,,Used with permission ,,image,wad,55,exh_item,exh,,
