pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,,contributor,rights,tags,_type,school,order,layout,collection,thumbnail,full,manifest
maa020,District Preliminary Proposal ESEA Title 1 Project,,"Elias, Joseph",,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,"February 1, 1968 - June 28, 1968",," Harvey, Tessa",,Board of Education of the City of New York; parent-teacher teams; District 5; corrective reading classes; public schools; private schools; non-public schools; community; career ladder; Public School 87 (P.S. 87); Public School 87 (P.S. 87); Public School 75 (P.S. 75); Public School 75 (P.S. 75); Public School 145 (P.S. 145); Public School 145 (P.S. 145); Public School 113 (P.S. 113); Public School 113 (P.S. 113); Public School 144 (P.S. 144); Public School 144 (P.S. 144); Teachers College (TC); Teachers College (TC); Teachers College (TC);  High School Equivalency;  English as a second language; after-school;  para-professional;  Black and Puerto Rican education;  community corporations; bilingualism; St. Paul�s; Holy Trinity; Corpus Christi; St. Thomas; St. Gregory; Public School 118 (P.S. 118) Public School 148 (P.S. 148) Blessed Sacrament; Holy Name; Ascension; Public School 9 (P.S. 9) Public School 76 (P.S. 76) Public School 84 (P.S. 84) ; Public School 163 (P.S. 163) Public School 165 (P.S. 165) Public School 166 (P.S. 166) ; Public School 170 (P.S. 170); Public School 179 (P.S. 179) ; Public School 180 (P.S. 180) Public School 184 (P.S. 184) Public School 191 (P.S. 191) Public School 199 (P.S. 199),image,gen,19,exh_item,maa,"/img/derivatives/iiif/images/maa020_1600420032/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa020_1600420032/full/1140,/0/default.jpg",/img/derivatives/iiif/maa020/manifest.json
maa006,A list of parent-teacher teams,,,,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,n.d.,,,,PS 113; Public School 113; Public School 185 (P.S. 185); Public School 185 (P.S. 185); Public School 184 (P.S. 184); Public School 184 (P.S. 184); Public School 208 (P.S. 208); Public School 208 (P.S. 208); parents                            ;,image,gen,5,exh_item,maa,"/img/derivatives/iiif/images/maa006_1600420012/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa006_1600420012/full/1140,/0/default.jpg",/img/derivatives/iiif/maa006/manifest.json
maa008,Introduction to Parent-Teacher Teams,,,,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,1968,,,,parent-teacher teams; public schools; parochial schools; District 5; community; bilingualism; Board of Education of the City of New York; Teachers College (TC); Teachers College (TC); Teachers College (TC); Community Corporation; Urban Community Schools Project; Ford Foundation; vocational education; Ascension School; Public School 145 (P.S. 145); Public School 145 (P.S. 145); Public School 165 (P.S. 165); Public School 165 (P.S. 165); Public School 180 (P.S. 180); Public School 180 (P.S. 180);  parents,image,gen,7,exh_item,maa,"/img/derivatives/iiif/images/maa008_1600420016/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa008_1600420016/full/1140,/0/default.jpg",/img/derivatives/iiif/maa008/manifest.json
maa024,Funds Allotted To 'Innovate' in District 5,,,,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,n.d.,,,,"innovative education; District 5; Title I; Federal Aid-to-Education Act; public schools; Upper West Side; bilingual education; literacy; after-school; Howard, Virginia; Mid-Westside Community Corporation                           ; ",image,gen,23,exh_item,maa,"/img/derivatives/iiif/images/maa024/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa024/full/1140,/0/default.jpg",/img/derivatives/iiif/maa024/manifest.json
maa018,"Parent-Teachers-Teams: Educationa[l] Assistants in T.C. Tuesday Programs: Public Schools Groups - District 5, as of December 9, 1969, subject to correction; Parent-Teachers in College Program",,"Ward, Geri",,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,25546,,,,Teachers College (T.C.); Parent-teachers; District 5; public schools; Pre-College Program                              ;,image,gen,17,exh_item,maa,"/img/derivatives/iiif/images/maa018/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa018/full/1140,/0/default.jpg",/img/derivatives/iiif/maa018/manifest.json
maa019,"Parent-Teachers-Teams: Educationa[l] Assistants in T.C. Tuesday Programs: Public Schools Groups - District 5, as of December 9, 1969, subject to correction; Parent-Teachers in College Program",,"Ward, Geri",,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,25546,,,,"Teachers College (T.C.); Parent-teachers; District 5; public schools; Pre-College Program; Ward, Geri; parents                             ; ",image,gen,18,exh_item,maa,"/img/derivatives/iiif/images/maa019/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa019/full/1140,/0/default.jpg",/img/derivatives/iiif/maa019/manifest.json
maa009,"Interview with Miss Nellie Jones, T.C., on April 2, 1968",,"Jones, Nellie",,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,24930,,,,Teachers College (T.C.); Teachers College (TC); Teachers College (TC); Horace Mann-Lincoln Institute (HMLI); Community Resource Center; Urban Community Schools Project; Ford Foundation; parent-teacher teams; District 5; Board of Education of the City of New York; Department of Home and Family Life; City University of New York (CUNY); parents                          ;,image,gen,8,exh_item,maa,"/img/derivatives/iiif/images/maa009/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa009/full/1140,/0/default.jpg",/img/derivatives/iiif/maa009/manifest.json
maa021,Developing Parent-Teacher Teams - New Career Training Program Master Schedule,,,,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,1968,,,,parent-teacher teams; Teachers College (TC); Teachers College (TC); Teachers College (TC),image,gen,20,exh_item,maa,"/img/derivatives/iiif/images/maa021/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa021/full/1140,/0/default.jpg",/img/derivatives/iiif/maa021/manifest.json
maa015,Envelope from Mrs Harry B. Price to Mrs Hetherington,,"Price, Harry B.",,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,n.d.,,,,"Morningside Committee on Location; Morningside Heights, Inc.                                ",image,gen,14,exh_item,maa,"/img/derivatives/iiif/images/maa015_1600420026/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa015_1600420026/full/1140,/0/default.jpg",/img/derivatives/iiif/maa015/manifest.json
maa023,Developing Parent-Teacher Teams,,"Miller, Theresa M.",,Columbia University Archives,Morningside Area Alliance,"Series III (Education, 1954-1982), Box 55, Folder 16: School District 5: Parent Teacher Teams Project, 1968-1969 ",https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_4412857,,24898,," Rodriguez-Munoz, Juan",,parent-teacher teams; Board of Education of the City of New York; parent-teacher relations; District 5; public schools; race relations; Black and white relations; race; community; community corporations; Joan of Arc Junior High School 118 (J.H.S. 118); Joan of Arc Junior High School 118 (J.H.S. 118); teacher aide; career ladder; after-school; Teachers College (TC); Teachers College (TC); Teachers College (TC); New Career Training Program; high school equivalency; Public School 144 (P.S. 144); Public School 144 (P.S. 144); Public School 113 (P.S. 113); Public School 113 (P.S. 113); Public School 145 (P.S. 145); Public School 145 (P.S. 145); Public School 75 (P.S. 75); Public School 75 (P.S. 75); Public School 87 (P.S. 87); Public School 87 (P.S. 87); evaluation                 ;,image,gen,22,exh_item,maa,"/img/derivatives/iiif/images/maa023_1600420041/full/250,/0/default.jpg","/img/derivatives/iiif/images/maa023_1600420041/full/1140,/0/default.jpg",/img/derivatives/iiif/maa023/manifest.json
